15-Jan-1967,61946,Green Bay Packers,35,Kansas City Chiefs,10,Bart Starr,Memorial Coliseum,Los Angeles,California,25
14-Jan-1968,75546,Green Bay Packers,33,Oakland Raiders,14,Bart Starr,Orange Bowl,Miami,Florida,19
12-Jan-1969,75389,New York Jets,16,Baltimore Colts,7,Joe Namath,Orange Bowl,Miami,Florida,9
11-Jan-1970,80562,Kansas City Chiefs,23,Minnesota Vikings,7,Len Dawson,Tulane Stadium,New Orleans,Louisiana,16
17-Jan-1971,79204,Baltimore Colts,16,Dallas Cowboys,13,Chuck Howley,Orange Bowl,Miami,Florida,3
16-Jan-1972,81023,Dallas Cowboys,24,Miami Dolphins,3,Roger Staubach,Tulane Stadium,New Orleans,Louisiana,21
14-Jan-1973,90182,Miami Dolphins,14,Washington Redskins,7,Jake Scott,Memorial Coliseum,Los Angeles,California,7
13-Jan-1974,71882,Miami Dolphins,24,Minnesota Vikings,7,Larry Csonka,Rice Stadium,Houston,Texas,17
12-Jan-1975,80997,Pittsburgh Steelers,16,Minnesota Vikings,6,Franco Harris,Tulane Stadium,New Orleans,Louisiana,10
18-Jan-1976,80187,Pittsburgh Steelers,21,Dallas Cowboys,17,Lynn Swann,Orange Bowl,Miami,Florida,4
09-Jan-1977,103438,Oakland Raiders,32,Minnesota Vikings,14,Fred Biletnikoff,Rose Bowl,Pasadena,California,18
15-Jan-1978,76400,Dallas Cowboys,27,Denver Broncos,10,Harvey Martin and Randy White,Superdome,New Orleans,Louisiana,17
21-Jan-1979,79484,Pittsburgh Steelers,35,Dallas Cowboys,31,Terry Bradshaw,Orange Bowl,Miami,Florida,4
20-Jan-1980,103985,Pittsburgh Steelers,31,Los Angeles Rams,19,Terry Bradshaw,Rose Bowl,Pasadena,California,12
25-Jan-1981,76135,Oakland Raiders,27,Philadelphia Eagles,10,Jim Plunkett,Louisiana Superdome,New Orleans,Louisiana,17
24-Jan-1982,81270,San Francisco 49ers,26,Cincinnati Bengals,21,Joe Montana,Pontiac Silverdome,Pontiac,Michigan,5
30-Jan-1983,103667,Washington Redskins,27,Miami Dolphins,17,John Riggins,Rose Bowl,Pasadena,California,10
22-Jan-1984,72920,Los Angeles Raiders,38,Washington Redskins,9,Marcus Allen,Tampa Stadium,Tampa,Florida,29
20-Jan-1985,84059,San Francisco 49ers,38,Miami Dolphins,16,Joe Montana,Stanford Stadium,Palo Alto,California,22
26-Jan-1986,73818,Chicago Bears,46,New England Patriots,10,Richard Dent,Louisiana Superdome,New Orleans,Louisiana,36
25-Jan-1987,101063,New York Giants,39,Denver Broncos,20,Phil Simms,Rose Bowl,Pasadena,California,19
31-Jan-1988,73302,Washington Redskins,42,Denver Broncos,10,Doug Williams,Jack Murphy Stadium,San Diego,California,32
22-Jan-1989,75129,San Francisco 49ers,20,Cincinnati Bengals,16,Jerry Rice,Joe Robbie Stadium,Miami Gardens,Florida,4
28-Jan-1990,72919,San Francisco 49ers,55,Denver Broncos,10,Joe Montana,Louisiana Superdome,New Orleans,Louisiana,45
27-Jan-1991,73813,New York Giants,20,Buffalo Bills,19,Ottis Anderson,Tampa Stadium,Tampa,Florida,1
